2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
201-275,201-240,Université de Liège,Belgium,62.8,51+,56.1,51+,80.2,51+,67.0,51+,,,
201-275,151-200,Universiti Putra Malaysia (UPM),Malaysia,60.0,51+,61.5,51+,82.3,51+,68.7,51+,,,
201-275,,University of Cape Town,South Africa,59.5,51+,62.2,51+,71.0,51+,59.1,51+,,,
201-275,,University of Chinese Academy of Sciences,China (Mainland),51.2,51+,59.5,51+,84.9,51+,82.2,51+,,,
201-275,,University of Coimbra,Portugal,56.8,51+,57.6,51+,81.9,51+,84.0,47=,,,
201-275,,University of Florence,Italy,56.3,51+,60.1,51+,79.5,51+,71.7,51+,,,
201-275,201-240,University of Galway,Ireland,61.2,51+,59.8,51+,73.2,51+,60.6,51+,,,
201-275,,University of Granada,Spain,61.7,51+,50.8,51+,79.4,51+,69.2,51+,,,
201-275,,University of Houston,United States of America,52.2,51+,56.5,51+,85.1,51+,75.2,51+,,,
201-275,201-240,University of Jordan,Jordan,58.2,51+,73.0,51+,67.6,51+,57.5,51+,,,
201-275,,University of Massachusetts Amherst,United States of America,53.6,51+,68.8,51+,71.9,51+,59.8,51+,,,
201-275,201-240,University of Ottawa,Canada,54.4,51+,65.5,51+,82.3,51+,71.2,51+,,,
201-275,201-240,University of Patras,Greece,60.9,51+,57.6,51+,78.9,51+,69.7,51+,,,
201-275,,University of Pisa,Italy,54.6,51+,67.5,51+,79.7,51+,73.9,51+,,,
201-275,,"University of Rome ""Tor Vergata""",Italy,58.2,51+,60.0,51+,75.1,51+,64.0,51+,,,
201-275,201-240,University of Sharjah,United Arab Emirates,52.5,51+,62.5,51+,88.4,48=,70.7,51+,,,
201-275,201-240,University of Surrey,United Kingdom,51.8,51+,61.4,51+,87.4,51+,72.6,51+,,,
201-275,,University of Tehran,Iran (Islamic Republic of),62.1,51+,42.0,51+,86.2,51+,85.4,35,,,
201-275,,University of Trento,Italy,63.5,51+,54.9,51+,76.1,51+,65.9,51+,,,
201-275,,Viet Nam National University Ho Chi Minh City (VNU-HCM),Viet Nam,60.8,51+,58.5,51+,72.6,51+,60.6,51+,,,
201-275,,Waseda University,Japan,60.9,51+,69.7,51+,68.6,51+,51.9,51+,,,
201-275,201-240,Western Sydney University,Australia,53.9,51+,53.2,51+,89.0,40=,81.0,51+,,,
201-275,,Wuhan University of Technology,China (Mainland),54.2,51+,48.9,51+,85.2,51+,88.2,23,,,
