2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
201-250,151-200,University of Iowa,United States of America,54.3,51+,59.8,51+,85.3,51+,74.1,51+,,,
201-250,151-200,University of Kent,United Kingdom,55.5,51+,54.3,51+,81.4,51+,76.8,51+,,,
201-250,151-200,University of Lausanne,Switzerland,64.0,51+,58.0,51+,69.5,51+,69.9,51+,,,
201-250,,University of Massachusetts Amherst,United States of America,57.1,51+,64.1,51+,75.7,51+,71.0,51+,,,
201-250,201-250,University of Naples - Federico II,Italy,55.1,51+,66.4,51+,75.6,51+,76.8,51+,,,
201-250,151-200,University of Oslo,Norway,55.7,51+,59.8,51+,77.9,51+,69.9,51+,,,
201-250,151-200,"University of Rome ""Tor Vergata""",Italy,56.3,51+,66.9,51+,71.5,51+,68.8,51+,,,
201-250,151-200,University of Strathclyde,United Kingdom,54.1,51+,63.2,51+,75.7,51+,74.1,51+,,,
201-250,151-200,University of Virginia,United States of America,60.2,51+,61.3,51+,73.0,51+,74.1,51+,,,
201-250,201-250,University of Wollongong,Australia,54.3,51+,63.2,51+,79.7,51+,75.0,51+,,,
201-250,201-250,University of York,United Kingdom,60.7,51+,59.8,51+,72.1,51+,72.1,51+,,,
201-250,151-200,Uppsala University,Sweden,58.2,51+,63.0,51+,70.6,51+,69.9,51+,,,
